date,issue_number,headline,section,type,text_excerpt
AGOSTO 5 DE 1916,1609,El periodismo departamental,Editorial,Article,"CHICLAYO, AGOSTO 5 DE 1916.

El periodismo departamental

En ninguna otra sección de la República, excepción hecha del Lima, se ha difundido más la afición al periodismo, que en la nuestra.

Sin tiempo ni datos concretos para hacerse una verdadera reseña histórica sobre este, para nosotros importante tema; bajo el rubricante a recuentos lo que al respecto sabemos.

Hay una circunstancia que se inaugura con esa celebridad que fue ""La Estrella del Norte"", periódico redactado en Lambaye que por el señor Carlos Monsalve figura en esta publicación: ""El Liberal"", ""El Eventual"", ""El Fénix"", ""La Reforma"", ""El Monitor"", ""La Aurora"", ""La Aurora"", y últimamente ""El Norte"".

También en Chiclayo, el primer periódico que se publicó fue ""El Chiclayano"", por el señor José Manuel Soto, apareciendo posteriormente ""El Corriente"", ""El Progreso"", ""El Norte"", ""El Republicano"", ""La Verdad"", ""El Comercio"", ""El Provincial"", ""El Diario"", del Perú; fundado Carlos T. Barandiarán y el Diario de Anuncio"".

Hay como sesenta diarios, per orden de fechas, a saber: ""El Departamento"", delante no solo en esta ciudad, sino en el Norte del Perú: ""La Tarde"", ""El Progreso"", ""La Prensa"", ""La Alerta"", y ""Unión Agrícola"".

Antes de iniciarse el diario me entre otros, del que fue fundador el señor Nicanor Carmona, hemos tenido ""El Trabajo"", hoy ""El Martillo"", ""El Bohemio"", que después se editó en su localidad, sino el pueblo el Ferrocarril ""A terta"", ""El Pueblo"", ""El Siglo XX"", ""La Prensa Libre"", ""El Tiempo"", ""La Palabra Nacional"", ""La Palabra"", ""El Zurrugo"" y otros que no recordamos por el momento.

En Monsefu se han editado ""El Progreso"", fundado por el señor Nicanor Carmona, ""El Centinela"", ""La Alborada"", ""El Mensagero"", ""El Independiente"", ""El Heraldo"", ""El Labaro"", ""El Pensamiento"", ""La Voz del Pueblo"", ""La Labor"", ""La Juventud"", y ""El Liberal"".

También en Eten se han publicado dos diarios estadísticos de identidad por el señor Carmona, aillo ""Nuestra Era Jornadon hoy"", ""El Tiempo"" y ""El Amigo de Eten"".

Entre los pueblos de la vecina provincia solo Ferreñafe ha tenido periódicos voceros: ""El Damismi"" fundado y dirigido por el señor Nicanor M. Carmona, su sucesor ""El Eco Ferreñafe"", ""La Concordia"", ""El Bohemio"", ""El Grito del Pueblo"", ""La Voz, del Obrero"", ""La Epoca"", ""Yerbo Libre"".

Por lo expuesto, en casi todas las poblaciones de ambas Provincias se han editado periódicos, de los que algunos han tenido vida efímera.

Ahora, cumple la prensa departamental, con su misión? ¿Se siente tocada de un grande ideal que tenga desco de regeneración nacional?

Queremos creer que sí...

Es verdad que a veces, entran ""Algunos"" extranili puñahan diarios que extranili tansusatorias oblidanto su misión y convirtense en morralizas flora; pero eso obedece, precisamente, a que aquí no es la prensa que despues se editó en su localidad que guia, sino el pueblo el que imprime dirección.

De todos modos, creemos que es mas humanitaria la indiferencia jurados, que la acusa de capricabo e implacable; por que una campaña de moralidad, de regeneración, de educación de todos, es más justa, más satisfactoria y dá la prueba de nues tra cultura y de los esfuerzos que se hacen para educar al pueblo.

Es verdad que éste no corresponde a los sacrificios que impone el periodismo, sacrificios que generalmente se ven recompensados con la indiferencia general o individual.

Estamos seguros que día vendrá, que los diarios Chiclayanos lleguen cuando más lejos, con un cuerpo de redacción apropiado, con los adelantos modernos de fotografado y servicio telegráfico-fotográfico que hoy es imposible sostener, por la falta de costumbre en el pago de las suscripciones.

La vida actual del periodismo es de esfuerzos y de constante lucha para su sostenimiento y al fin se tendrá que imponer en la conciencia pública el diario que mejor llene su misión, con amplitud y ele mirada con respecto a la sociedad y el medio de un mocho campo de información.

Ojalá que en un próximo 28 de Julio, podamos disfrutar de ese bien, que el periodismo es la que parea el porvenir de los pueblos.

F. A. HERRERA"
AGOSTO 5 DE 1916,1609,ROMULO MENCHOLA,Ads,Advertisement,"ROMULO MENCHOLA

VENDEDOR Y COBRADOR

De las afamadas máquinas Singer Sewing Machines C°."
